canonical_instrument_id,symbol,event_date,action_type,raw_factor,cumulative_backward_factor,volume_factor,factor_confidence,source_event_id,methodology_version,review_status
NSE:GPTINFRA:EQ,GPTINFRA,2022-11-11,BONUS,0.5,0.25,2,VERIFIED_OFFICIAL,nse-ca-1b11a802ab824bbf,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GPTINFRA:EQ,GPTINFRA,2024-07-03,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-7a519ffb5a3d2e3f,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GREENLAM:EQ,GREENLAM,2022-02-10,STOCK_SPLIT,0.2,0.1,5,VERIFIED_OFFICIAL,nse-ca-9ff82ce76e7ecaf3,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GREENLAM:EQ,GREENLAM,2025-03-21,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-a048f67a0f60fd8c,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GRMOVER:EQ,GRMOVER,2025-12-24,BONUS,0.3333333333333333333333333333,0.3333333333333333333333333333,3,VERIFIED_OFFICIAL,nse-ca-207781be00521bdb,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GRPLTD:EQ,GRPLTD,2024-08-12,BONUS,0.25,0.25,4,VERIFIED_OFFICIAL,nse-ca-39409f76f86743fa,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GULPOLY:EQ,GULPOLY,2023-06-21,BONUS,0.8333333333333333333333333333,0.8333333333333333333333333333,1.2,VERIFIED_OFFICIAL,nse-ca-6eed4edd8df37359,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GVPTECH:EQ,GVPTECH,2023-01-23,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-8254bed816b6804e,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HAL:EQ,HAL,2023-09-28,STOCK_SPLIT,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-410dd9644a580c3f,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:HARDWYN:EQ,HARDWYN,2022-07-25,BONUS,0.6666666666666666666666666667,0.02551020408163265306122448979,1.5,VERIFIED_OFFICIAL,nse-ca-46f25b57ffe5d623,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
